date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:22:21	1599/1599	---M-Z	200	added ('OK')	application/javascript	etag:%2263f-5e1506f2a6c2f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/js/pages/foo-tables.init.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/js/pages/foo-tables.init.js	(from https://coderthemes.com/ubold/layouts/creative/tables-footables.html)
15:22:22	9267/9267	---M-Z	200	added ('OK')	text/css	etag:%222433-5e1506f2be32f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/bootstrap-table/bootstrap-table.min.css	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/bootstrap-table/bootstrap-table.min.css	(from https://coderthemes.com/ubold/layouts/creative/tables-bootstrap.html)
15:22:22	133867/133867	---M-Z	200	added ('OK')	application/javascript	etag:%2220aeb-5e1506f2be32f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/bootstrap-table/bootstrap-table.min.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/bootstrap-table/bootstrap-table.min.js	(from https://coderthemes.com/ubold/layouts/creative/tables-bootstrap.html)
15:22:22	1197/1197	---M-Z	200	added ('OK')	application/javascript	etag:%224ad-5e1506f2a6c2f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/js/pages/bootstrap-tables.init.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/js/pages/bootstrap-tables.init.js	(from https://coderthemes.com/ubold/layouts/creative/tables-bootstrap.html)
15:22:22	811996/811996	---MCZ	200	added ('OK')	application/javascript	etag:%22c63dc-5e1506f2d7970-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/pdfmake/build/vfs_fonts.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/pdfmake/build/vfs_fonts.js	(from https://coderthemes.com/ubold/layouts/creative/tables-datatables.html)
15:22:22	14577/14577	---M-Z	200	added ('OK')	text/css	etag:%2238f1-5e1506f2de6d0-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/tablesaw/tablesaw.css	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/tablesaw/tablesaw.css	(from https://coderthemes.com/ubold/layouts/creative/tables-tablesaw.html)
15:22:23	94992/94992	---M-Z	200	added ('OK')	application/javascript	etag:%2217310-5e1506f2df670-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/tablesaw/tablesaw.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/tablesaw/tablesaw.js	(from https://coderthemes.com/ubold/layouts/creative/tables-tablesaw.html)
15:22:23	55/55	---M--	200	added ('OK')	application/javascript	etag:%2237-5e1506f2a7bcf%22	https://coderthemes.com/ubold/layouts/creative/assets/js/pages/tablesaw.init.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/js/pages/tablesaw.init.js	(from https://coderthemes.com/ubold/layouts/creative/tables-tablesaw.html)
15:22:23	1802/1802	---M-Z	200	added ('OK')	text/css	etag:%2270a-5e1506f2ceccf-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/jsgrid/jsgrid.min.css	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/jsgrid/jsgrid.min.css	(from https://coderthemes.com/ubold/layouts/creative/tables-jsgrid.html)
15:22:23	33450/33450	---M-Z	200	added ('OK')	text/css	etag:%2282aa-5e1506f2ceccf-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/jsgrid/jsgrid-theme.min.css	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/jsgrid/jsgrid-theme.min.css	(from https://coderthemes.com/ubold/layouts/creative/tables-jsgrid.html)
